Object,PolicyType,PolicyName,ListType,TABL,MailFlowRule,DefaultConnFilter,Remove
admin@trusted-partner.com,Anti-Spam,Default,AllowedSenders,Allow,,,
billing@acme-corp.com,Anti-Spam,Default,AllowedSenders,,,, 
support@vendor-systems.net,Anti-Spam,Project 360 Filter,AllowedSenders,,,, 
partner.domain.com,Anti-Spam,Default,AllowedDomains,Allow,,,
trusted-vendor.net,Anti-Spam,Project 360 Filter,AllowedDomains,,,, 
192.168.1.0/24,Anti-Spam,Default,AllowedDomains,,,Add,
phishing.malicious.com,Anti-Spam,Default,BlockedDomains,Block,,,
spam-relay.xyz,Anti-Spam,Default,BlockedDomains,Block,,,
noreply@bulk-mailer.com,Anti-Spam,Default,BlockedSenders,Block,,,
newsletter@external-list.org,Anti-Spam,Project 360 Filter,BlockedSenders,,,, 
internal-test@company.com,Anti-Spam,Default,ExcludedSenders,,,, 
staging.company.internal,Anti-Spam,Default,ExcludedDomains,,,, 
phish.com,Anti-Phishing,Office365 AntiPhish Default,BlockedDomains,Block,,,
malicious-domain.net,Anti-Phishing,Office365 AntiPhish Default,BlockedDomains,Block,,,
trusted-email.com,Anti-Phishing,Office365 AntiPhish Default,AllowedDomains,Allow,,,
test.internal.domain,Anti-Phishing,Office365 AntiPhish Default,ExcludedDomains,,,, 
subdomain.trusted.com,Anti-Phishing,Office365 AntiPhish Default,ExcludedSubDomains,,,, 
exec@board.company.com,Anti-Phishing,Office365 AntiPhish Default,AllowedSenders,Allow,,,
malware.delivery.com,Anti-Malware,Default,BlockedDomains,Block,,,
virus-host.ru,Anti-Malware,Default,BlockedDomains,Block,,,
partner@trusted-msa.com,Anti-Malware,Default,AllowedSenders,Allow,,,
scan.internal.tool,Anti-Malware,Default,ExcludedDomains,,,, 
103.212.121.87/32,Connection Filter,Default,AllowedIPs,,, ,Add
192.0.2.100,Connection Filter,Default,AllowedIPs,,,Add,
198.51.100.0/24,Connection Filter,Default,BlockedIPs,,, 
203.0.113.50,Connection Filter,Default,BlockedIPs,Block,,,
trusted-sender@verified.com,Anti-Spam (Preset),Standard Preset Security Policy,AllowedSenders,Allow,,,
partner.manufacturing.com,Anti-Spam (Preset),Standard Preset Security Policy,AllowedDomains,Allow,,,
known-malware.com,Anti-Spam (Preset),Strict Preset Security Policy,BlockedDomains,Block,,,
phishing-campaign.net,Anti-Phishing (Preset),Standard Preset Security Policy,BlockedDomains,Block,,,
vendor-critical.com,Anti-Phishing (Preset),Strict Preset Security Policy,AllowedDomains,Allow,,,
test@staging.internal,Anti-Phishing (Preset),Standard Preset Security Policy,ExcludedSenders,,,, 
automation.internal.local,Anti-Phishing (Preset),Strict Preset Security Policy,ExcludedDomains,,,, 
api.integration.net,Anti-Malware (Preset),Standard Preset Security Policy,AllowedSenders,Allow,,,
